horse_id,horse,country_of_origin,age,colour,sex,import_type,season_stakes,total_stakes,1-2-3-starts,starts in past 10 race meetings,stable_location,arrival_date,trainer,owner,current_rating,1920rating,sire,dam,damsire
C127,GOOD RUNNERS WAY,NZ,6.0,Bay,Gelding,PPG,0.0,1388520.0,"['2', '1', '2', '22']",0.0,Conghua,2020-03-04,C S Shum,Mr & Mrs Peter Chan On Tak and Robert Chan Chi Man,34.0,34.0,Battle Paint,Ysa Post,Postponed
C035,REGENCY GEM,NZ,6.0,Bay,Gelding,PPG,0.0,1016240.0,"['1', '2', '2', '19']",0.0,Hong Kong,2020-07-02,W Y So,Wendy Wong Yin Ting & Owen Cheng Ho Wang,40.0,40.0,Showcasing,The Myth,Cape Cross
V406,PROUD SKY,GB,7.0,Bay,Gelding,PP,0.0,1780625.0,"['3', '0', '1', '42']",0.0,Hong Kong,2016-06-25,L Ho,Francis Wong Shing Yick & Raymond Wong Kai Yuen,24.0,24.0,Acclamation,Claiomh Solais,Galileo
V369,LE PANACHE,IRE,,Bay,Gelding,PP,,2501500.0,"['2', '6', '5', '42']",0.0,,,,Kok Jian Pei,,38.0,Acclamation,Heavens Peak,Pivotal
V400,GOLD VELVET,NZ,,Bay / Brown,Gelding,PPG,,2005145.0,"['2', '4', '3', '34']",0.0,,,,"Gibson Lau Wai Chi, Eric Lau Pui Kit & Ricky Lau Pui Wai",,42.0,Savabeel,Girls On Top,O'Reilly
B107,ROMANTIC JOURNEY,AUS,,Chestnut,Gelding,PP,,599250.0,"['0', '3', '1', '28']",0.0,,,,Alice Ming Bo Ting,,20.0,More Than Ready,Perfect Truth,Galileo
B425,WICKER,NZ,5.0,Bay,Gelding,PPG,0.0,619875.0,"['1', '0', '0', '19']",0.0,Hong Kong,2018-05-18,R Gibson,Timmy Wong Ka Kit,22.0,22.0,Ocean Park,Spiriting,Montjeu
B146,WHAMPOA STAR,FR,,Brown,Gelding,PP,,215525.0,"['0', '0', '1', '25']",0.0,,,,Whampoa Star Syndicate,,19.0,Myboycharlie,Atlantic Slew,Helissio
B292,YOUNG GLORY,NZ,6.0,Bay,Gelding,PPG,0.0,1086400.0,"['1', '2', '2', '31']",0.0,Hong Kong,2017-12-22,D E Ferraris,HKJC Racing Club Limited,21.0,21.0,Niagara,Divine Miss Em,Traditionally
A324,ADONIS,AUS,7.0,Bay,Gelding,ISG,86250.0,2174260.0,"['2', '4', '3', '37']",1.0,Hong Kong,2017-03-18,D J Whyte,Johnson Chen,39.0,39.0,Exceed And Excel,Mythical Play,Defensive Play
