Jockey,Win,2nd,3rd,4th,5th,Total Rides,Stakes Won
Z Purton,21%,14%,14%,8%,9%,707,"$202,112,646"
J Moreira,19%,17%,13%,9%,9%,719,"$206,911,366"
K Teetan,13%,10%,11%,11%,10%,719,"$138,503,489"
C Y Ho,11%,10%,9%,10%,11%,623,"$126,366,677"
C Schofield,9%,8%,8%,8%,10%,491,"$54,304,475"
G van Niekerk,11%,13%,11%,11%,9%,350,"$56,048,185"
M F Poon,5%,4%,6%,8%,9%,555,"$39,061,505"
K C Leung,5%,4%,6%,9%,10%,562,"$37,146,565"
N Callan,5%,8%,8%,12%,9%,481,"$42,185,220"
A Badel,10%,9%,8%,9%,6%,254,"$33,166,408"
M Chadwick,5%,8%,8%,6%,9%,510,"$48,535,923"
K H Chan,7%,6%,9%,8%,6%,312,"$28,282,138"
A Hamelin,7%,7%,7%,11%,11%,227,"$21,594,370"
V Borges,7%,7%,7%,7%,9%,242,"$21,600,335"
B Shinn,3%,10%,9%,8%,8%,445,"$38,044,770"
S de Sousa,9%,9%,8%,10%,11%,149,"$18,063,749"
H T Mo,3%,5%,3%,3%,6%,350,"$16,507,705"
C Wong,5%,4%,4%,7%,3%,190,"$9,261,815"
A Sanna,8%,3%,8%,6%,8%,120,"$10,735,300"
M L Yeung,2%,4%,4%,6%,5%,418,"$16,150,280"
T Piccone,9%,7%,13%,5%,5%,91,"$9,437,375"
C L Chau,7%,12%,13%,6%,7%,94,"$11,640,745"
H N Wong,2%,3%,2%,3%,5%,354,"$8,459,485"
U Rispoli,5%,7%,7%,12%,6%,110,"$7,078,860"
T H So,1%,3%,4%,3%,6%,320,"$8,847,788"
H W Lai,1%,2%,3%,5%,2%,325,"$7,514,865"
A Domeyer,8%,12%,21%,4%,13%,52,"$5,972,550"
L Hewitson,1%,4%,4%,6%,4%,251,"$7,362,155"
R Moore,10%,24%,5%,0%,19%,21,"$12,818,503"
R Bayliss,2%,3%,4%,2%,6%,90,"$3,181,375"
C Soumillon,25%,25%,0%,25%,0%,4,"$19,620,000"
M Matsuoka,100%,0%,0%,0%,0%,1,"$15,960,000"
C Keane,25%,0%,0%,0%,0%,4,"$991,800"
H Bowman,0%,17%,6%,28%,11%,18,"$5,491,445"
J McDonald,0%,15%,0%,15%,0%,13,"$943,420"
Y Kawada,0%,25%,0%,25%,0%,4,"$324,912"
J Spencer,0%,13%,0%,0%,13%,8,"$2,233,845"
O Murphy,0%,0%,9%,27%,18%,11,"$2,393,645"
D Lane,0%,0%,0%,33%,0%,3,"$87,000"
W L Ho,0%,0%,0%,33%,0%,3,"$195,000"
C Lemaire,0%,0%,0%,20%,0%,5,"$1,425,000"
M Guyon,0%,0%,0%,0%,67%,3,"$710,750"
S Pasquier,0%,0%,0%,0%,100%,1,"$924,000"
L Dettori,0%,0%,0%,0%,13%,8,"$40,614"
B Avdulla,0%,0%,0%,0%,0%,1,$0
J Watson,0%,0%,0%,0%,0%,1,$0
K McEvoy,0%,0%,0%,0%,0%,1,$0
M Walker,0%,0%,0%,0%,0%,1,$0
W Lordan,0%,0%,0%,0%,0%,1,$0
P-C Boudot,0%,0%,0%,0%,0%,4,$0
