race_id,race,date,place,horse_id,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,win_odds,class,going,track,prize,location,distance_m,finish_time,finish_time_s
1,1,2019-09-01 00:00:00.000,1,C127,3,GOOD RUNNERS WAY,Z Purton,C S Shum,131.0,1072.0,6,0.0,"['3', '3', '2', '1']",2.2,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:35.480,95.47999999999999
1,1,2019-09-01 00:00:00.000,2,C035,4,REGENCY GEM,J Moreira,W Y So,129.0,1179.0,7,0.1,"['9', '8', '8', '2']",4.9,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:35.500,95.5
1,1,2019-09-01 00:00:00.000,3,V406,7,PROUD SKY,K Teetan,L Ho,121.0,1053.0,4,0.5,"['5', '4', '3', '3']",18.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:35.570,95.57
1,1,2019-09-01 00:00:00.000,4,V369,2,LE PANACHE,A Sanna,D J Whyte,132.0,1076.0,3,1.25,"['4', '6', '6', '4']",5.7,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:35.680,95.68
1,1,2019-09-01 00:00:00.000,5,V400,1,GOLD VELVET,L Hewitson,A T Millard,133.0,1155.0,8,1.5,"['8', '7', '7', '5']",7.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:35.710,95.71000000000001
1,1,2019-09-01 00:00:00.000,6,B107,9,ROMANTIC JOURNEY,H T Mo,C W Chang,112.0,1085.0,1,1.75,"['1', '1', '1', '6']",19.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:35.770,95.77000000000001
1,1,2019-09-01 00:00:00.000,7,B425,5,WICKER,N Callan,R Gibson,126.0,1118.0,9,2.0,"['7', '9', '9', '7']",50.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:35.790,95.78999999999999
1,1,2019-09-01 00:00:00.000,8,B146,6,WHAMPOA STAR,M F Poon,Y S Tsui,119.0,1139.0,5,7.5,"['2', '2', '4', '8']",14.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:36.670,96.67
1,1,2019-09-01 00:00:00.000,9,B292,8,YOUNG GLORY,M Chadwick,D E Ferraris,120.0,1207.0,2,10.5,"['6', '5', '5', '9']",21.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1600,1900-01-01 00:01:37.150,97.15
2,2,2019-09-01 00:00:00.000,1,A324,13,ADONIS,R Bayliss,D J Whyte,122.0,1062.0,12,0.0,"['10', '9', '1']",6.7,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1200,1900-01-01 00:01:09.990,69.99
2,2,2019-09-01 00:00:00.000,2,C173,2,KWAI CHUNG ELITE,B Shinn,R Gibson,133.0,1111.0,13,2.5,"['12', '12', '2']",11.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1200,1900-01-01 00:01:10.380,70.38
2,2,2019-09-01 00:00:00.000,3,T022,8,GOLDEN CANNON,C Y Ho,K W Lui,130.0,958.0,10,2.5,"['14', '14', '3']",30.0,Class 5,GOOD,"TURF - ""B"" Course",725000,Sha Tin,1200,1900-01-01 00:01:10.390,70.39
