place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,E STAR(C132),K C Leung,K L Man,131,1029,8,-,"5                                                            

5                                                            

1",1:09.12,8.2,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
2,8,EIGHT TRIGRAMS(C102),Z Purton,D J Hall,127,1114,7,1-1/4,"3                                                            

3                                                            

2",1:09.30,2.2,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
3,14,I'M THE CONQUIST(B155),M Chadwick,D J Whyte,116,1071,2,2-1/2,"4                                                            

4                                                            

3",1:09.48,13,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
4,12,MASTER ALBERT(A296),K Teetan,W Y So,123,1120,12,2-3/4,"13                                                            

8                                                            

4",1:09.53,8.6,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
5,10,BEST FOR YOU(C223),G van Niekerk,Y S Tsui,125,994,9,4-1/2,"6                                                            

6                                                            

5",1:09.84,23,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
6,3,GOOD VIEW CLARICO(C454),B Shinn,C H Yip,128,1149,4,4-3/4,"2                                                            

1                                                            

6",1:09.89,5.5,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
7,9,GOLDEN MISSION(C106),C Schofield,R Gibson,127,1131,13,5-3/4,"14                                                            

13                                                            

7",1:10.02,37,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
8,5,SUPER EIGHTEEN(A323),A Domeyer,A T Millard,128,1209,3,5-3/4,"12                                                            

12                                                            

8",1:10.02,7.4,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
9,6,VEGA RHYTHM(C455),H W Lai,L Ho,128,1154,1,5-3/4,"7                                                            

9                                                            

9",1:10.03,170,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
10,4,ONE HAPPY STAR(C486),T H So,C H Yip,126,1123,10,6-1/2,"9                                                            

11                                                            

10",1:10.15,106,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
11,11,GUN GUN WIN(C092),H N Wong,W Y So,120,1077,14,7-1/2,"10                                                            

7                                                            

11",1:10.32,166,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
12,13,IRON BRAVO(C012),H T Mo,W Y So,114,1119,5,12-1/4,"8                                                            

10                                                            

12",1:11.06,139,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
13,2,FOREVER SHARP(C467),J Moreira,C S Shum,128,1112,11,13-1/2,"1                                                            

2                                                            

13",1:11.29,41,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
14,7,WINNER APPROACH(C378),R Bayliss,C W Chang,128,1110,6,ML,"11                                                            

14                                                            

14",2:30.78,196,1(58),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
1,9,QUADRUPLE DOUBLE(B250),M F Poon,D J Hall,125,1099,10,-,"2                                                            

2                                                            

1",1:08.85,4.5,2(59),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
2,8,WOOD ON FIRE(C460),G van Niekerk,L Ho,128,1073,12,2,"11                                                            

10                                                            

2",1:09.17,107,2(59),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
3,10,LITTLE THUNDER(C453),A Domeyer,A T Millard,126,1108,2,2-1/2,"4                                                            

4                                                            

3",1:09.24,8,2(59),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
4,2,THE CREATETH(A336),K Teetan,J Moore,131,1062,13,2-3/4,"12                                                            

8                                                            

4",1:09.30,7.3,2(59),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 967,000",Sha Tin,2019/10/01
