place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,3,TRUST ME(C134),Z Purton,C H Yip,128,1085,14,-,"9                                                            

7                                                            

1",0:56.29,3.8,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
2,2,ZERO HEDGE(A221),K H Chan,J Size,126,1128,6,3/4,"1                                                            

1                                                            

2",0:56.42,4.9,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
3,5,DECISIVE TWELVE(D280),C Y Ho,W Y So,127,1127,9,1-1/4,"2                                                            

2                                                            

3",0:56.49,3.7,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
4,9,QIPAO BOSS(D207),M F Poon,D J Hall,125,1064,2,2-3/4,"10                                                            

10                                                            

4",0:56.71,53,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
5,6,FIGHTER BOY(D152),K C Leung,P F Yiu,127,1123,1,3-1/4,"5                                                            

5                                                            

5",0:56.79,10,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
6,12,SWEETLY BABY(D247),B Shinn,C Fownes,127,1187,4,3-1/2,"7                                                            

8                                                            

6",0:56.84,164,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
7,14,CHUNGHWA JINGSHEN(D148),M L Yeung,L Ho,117,1112,3,4,"13                                                            

11                                                            

7",0:56.94,205,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
8,13,TANG TREASURE(C390),K Teetan,D E Ferraris,119,1014,11,5-1/4,"12                                                            

12                                                            

8",0:57.13,86,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
9,11,SUPER MISSION(D262),H W Lai,P F Yiu,127,1179,13,5-1/4,"6                                                            

3                                                            

9",0:57.14,19,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
10,1,HEALTHY LUCK(A064),N Callan,K L Man,133,1042,12,5-1/2,"4                                                            

4                                                            

10",0:57.17,6.3,1(454),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
