place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,12,MONEY WINNER(A055),C Wong,Y S Tsui,108,1027,7,-,"12                                                            

12                                                            

12                                                            

12                                                            

1",1:49.79,22,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
2,2,BUNDLE OF ENERGY(B279),Z Purton,D J Hall,130,1142,10,HD,"9                                                            

11                                                            

11                                                            

10                                                            

2",1:49.82,3.7,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
3,4,BABY STORM(C500),C L Chau,L Ho,119,1044,12,1-1/4,"1                                                            

1                                                            

1                                                            

1                                                            

3",1:49.99,10,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
4,3,HAY RUN(V337),V Borges,L Ho,130,1107,11,1-3/4,"5                                                            

3                                                            

2                                                            

2                                                            

4",1:50.05,10,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
5,11,MONEY MARSHAL(B134),H T Mo,D E Ferraris,110,1153,8,2-3/4,"11                                                            

9                                                            

6                                                            

3                                                            

5",1:50.21,16,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
6,7,SUCCESS ALLSTARS(D065),H W Lai,D E Ferraris,127,963,6,3-1/2,"10                                                            

10                                                            

10                                                            

11                                                            

6",1:50.34,120,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
7,10,BRING IT ON(V407),T H So,C H Yip,118,1160,1,3-3/4,"3                                                            

4                                                            

3                                                            

5                                                            

7",1:50.37,13,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
8,8,KEEP WINNING(B331),M L Yeung,C W Chang,122,1139,4,4,"6                                                            

5                                                            

5                                                            

7                                                            

8",1:50.41,32,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
9,9,GREAT SMART(C319),M Chadwick,K L Man,121,1213,5,4,"4                                                            

6                                                            

8                                                            

8                                                            

9",1:50.43,3.9,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
10,6,TURF BRILLIANT(C456),K Teetan,W Y So,129,1111,3,4-1/4,"7                                                            

8                                                            

9                                                            

6                                                            

10",1:50.45,5.8,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
11,1,POLYMER LUCK(T326),C Schofield,K H Ting,133,1077,9,4-1/2,"2                                                            

2                                                            

4                                                            

4                                                            

11",1:50.53,13,1(820),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""B"" Course","HK$ 725,000",Happy Valley,2020/07/15
