place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,9,YEE CHEONG LUCKY(B357),K Teetan,A T Millard,120,1051,4,-,"6                                                            

2                                                            

1",1:09.77,3.8,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
2,10,EXPONENTS(A031),J Moreira,Y S Tsui,119,1126,7,3-1/4,"9                                                            

7                                                            

2",1:10.30,6.8,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
3,8,CORRE RAPIDO(A053),A Hamelin,R Gibson,120,1162,6,3-1/4,"4                                                            

4                                                            

3",1:10.31,12,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
4,11,FAIRY FLOSS(C236),Z Purton,K H Ting,120,1056,1,3-1/2,"1                                                            

1                                                            

4",1:10.33,6,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
5,2,ADONIS(A324),C L Chau,D J Whyte,121,1083,2,5,"5                                                            

5                                                            

5",1:10.57,3.7,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
6,6,ROCHFORD(A208),H T Mo,L Ho,121,1164,8,6,"8                                                            

11                                                            

6",1:10.72,17,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
7,1,EVER STRONG(A275),C Y Ho,K L Man,132,1054,11,7-1/4,"11                                                            

10                                                            

7",1:10.91,8.7,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
8,4,HEALTHY TREASURE(B482),T H So,P O'Sullivan,128,1189,10,7-1/2,"10                                                            

6                                                            

8",1:10.96,96,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
9,12,FORTUNE BUDDY(B444),M L Yeung,T P Yung,118,1083,3,8-3/4,"12                                                            

12                                                            

9",1:11.16,63,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
10,5,TANG TREASURE(C390),N Callan,D E Ferraris,127,1025,12,8-3/4,"7                                                            

9                                                            

10",1:11.18,115,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
11,7,HARBOUR ALERT(T254),M F Poon,C W Chang,120,1304,9,19-1/2,"3                                                            

3                                                            

11",1:12.88,14,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
12,3,JOY AVENUE(C340),K H Chan,C H Yip,124,1177,5,33,"2                                                            

8                                                            

12",1:15.04,61,1(779),Class 5 - 1200M - (40-0),WET SLOW,ALL WEATHER TRACK,"HK$ 725,000",Sha Tin,2020/07/01
1,13,RED BRICK FIGHTER(C304),J Moreira,D J Hall,124,1072,14,-,"4                                                            

2                                                            

2                                                            

1",1:22.08,5.2,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
2,5,KELMIMI WINS(C419),M L Yeung,J Moore,130,1073,9,1-1/2,"1                                                            

1                                                            

1                                                            

2",1:22.32,41,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
3,2,YES WE CAN(C307),Z Purton,T P Yung,133,1260,2,2,"9                                                            

7                                                            

6                                                            

3",1:22.39,5.3,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
4,11,TREASURE CHEST(D008),K H Chan,P F Yiu,120,1055,3,3,"3                                                            

3                                                            

3                                                            

4",1:22.54,5,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
5,9,JOY MASTER(B222),C Y Ho,C Fownes,128,1092,13,3-1/4,"14                                                            

13                                                            

14                                                            

5",1:22.61,10,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
6,12,ROYAL CHOCOLATE(A356),K Teetan,A T Millard,126,1141,7,3-3/4,"5                                                            

5                                                            

5                                                            

6",1:22.69,14,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
7,7,BELLA BABY(B365),A Hamelin,W Y So,129,1008,6,4,"12                                                            

9                                                            

9                                                            

7",1:22.71,20,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
8,10,BLAZING PARTNERS(B071),N Callan,D E Ferraris,127,1096,4,5-1/2,"8                                                            

8                                                            

8                                                            

8",1:22.98,24,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
9,14,SOLAR BILLION(C171),M Chadwick,K L Man,114,1092,10,6,"13                                                            

14                                                            

12                                                            

9",1:23.03,41,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
10,1,GALAXY EMPEROR(D107),C Wong,A S Cruz,128,1069,5,6-1/2,"7                                                            

10                                                            

10                                                            

10",1:23.13,20,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
11,8,SHANGHAI RUSKY(C279),C L Chau,C W Chang,119,1129,1,7-1/4,"2                                                            

4                                                            

4                                                            

11",1:23.23,10,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
12,6,LITTLE GENERAL(C096),V Borges,C S Shum,130,1051,11,7-1/2,"10                                                            

12                                                            

13                                                            

12",1:23.29,7.5,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
13,3,ALL TIMES GRATEFUL(C438),M F Poon,C H Yip,130,1064,8,13-1/2,"11                                                            

11                                                            

11                                                            

13",1:24.25,28,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
14,4,FORTUNATE RUNNER(A292),H N Wong,K W Lui,129,1164,12,29-1/4,"6                                                            

6                                                            

7                                                            

14",1:26.75,57,2(780),Class 5 - 1400M - (40-0),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2020/07/01
1,7,LEADING FORTUNE(C441),N Callan,J Size,125,1102,4,-,"7                                                            

7                                                            

7                                                            

1",1:21.45,6.1,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
2,2,TRIPLE TRIPLE(C359),Z Purton,F C Lor,133,1052,6,SH,"4                                                            

6                                                            

6                                                            

2",1:21.46,4.9,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
3,12,SMART WONGCHOY(D208),C L Chau,D J Whyte,113,1093,13,N,"1                                                            

1                                                            

1                                                            

3",1:21.49,26,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
4,14,ROYAL RACER(B460),M L Yeung,C Fownes,115,1090,3,2-1/4,"9                                                            

8                                                            

8                                                            

4",1:21.81,22,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
5,6,LADY FIRST(B013),K Teetan,A S Cruz,125,1018,1,3,"6                                                            

5                                                            

5                                                            

5",1:21.92,3.3,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
6,3,PEARL CHAMPION(B201),A Hamelin,A T Millard,130,1037,12,4-1/4,"2                                                            

2                                                            

3                                                            

6",1:22.11,8.8,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
7,5,SAM'S LOVE(A088),B Shinn,C H Yip,126,1075,11,5-1/2,"3                                                            

4                                                            

4                                                            

7",1:22.32,31,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
8,8,SEAWEED FORTUNE(C440),C Y Ho,K W Lui,125,1119,7,5-1/2,"13                                                            

13                                                            

12                                                            

8",1:22.35,12,3(781),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 967,000",Sha Tin,2020/07/01
