Trainer,Win,2nd,3rd,4th,5th,Total Runs,Stakes Won
P F Yiu,67,43,44,44,45,480,"$76,092,793"
A S Cruz,65,55,62,44,66,600,"$127,705,341"
K W Lui,63,50,52,32,59,487,"$101,536,068"
J Moore,57,55,63,54,36,566,"$115,408,686"
C Fownes,49,54,41,51,45,527,"$78,621,958"
J Size,46,73,51,49,45,542,"$117,372,145"
C S Shum,45,49,26,39,43,475,"$69,711,815"
F C Lor,44,42,55,55,43,500,"$79,179,208"
D J Whyte,44,41,38,47,40,466,"$51,039,432"
K H Ting,35,20,25,36,27,412,"$36,788,993"
Y S Tsui,33,47,44,37,37,598,"$44,017,535"
K L Man,31,44,33,33,32,410,"$43,374,438"
W Y So,31,28,33,33,28,426,"$35,330,615"
P O'Sullivan,31,27,30,27,42,376,"$33,010,792"
D J Hall,31,21,35,40,30,393,"$37,040,533"
A T Millard,30,28,33,23,25,346,"$37,234,605"
C H Yip,26,19,42,34,33,554,"$26,783,461"
T P Yung,24,27,27,24,31,432,"$28,617,620"
D E Ferraris,21,28,36,28,30,428,"$29,619,618"
C W Chang,19,37,22,15,33,394,"$24,558,480"
R Gibson,19,12,21,40,37,366,"$26,344,954"
L Ho,15,28,17,36,20,427,"$21,136,215"
T Ozeki,1,0,0,0,0,1,"$11,400,000"
Y Hatakeyama,1,0,0,0,0,1,"$15,960,000"
Y Tomomichi,1,0,0,0,0,1,"$14,250,000"
M Matsunaga,0,1,0,0,0,1,"$4,400,000"
A P O'Brien,0,1,0,0,0,3,"$6,160,000"
J Lau,0,0,1,1,0,3,"$568,750"
K Hagiwara,0,0,0,1,0,1,"$1,425,000"
M Hashida,0,0,0,1,0,1,"$1,140,000"
de Royer Dupre,0,0,0,0,1,1,"$924,000"
P Brandt,0,0,0,0,1,1,"$660,000"
Y Ikee,0,0,0,0,1,1,"$825,000"
C Fellowes,0,0,0,0,0,1,$0
H Otonashi,0,0,0,0,0,1,$0
R Charlton,0,0,0,0,0,1,$0
Sir M R Stoute,0,0,0,0,0,1,$0
T Yasuda,0,0,0,0,0,1,$0
W J Haggas,0,0,0,0,0,1,$0
W P Mullins,0,0,0,0,0,1,$0
