Trainer,Win,2nd,3rd,4th,5th,Total Runs,Stakes Won
P F Yiu,14%,9%,9%,9%,9%,480,"$76,092,793"
A S Cruz,11%,9%,10%,7%,11%,600,"$127,705,341"
K W Lui,13%,10%,11%,7%,12%,487,"$101,536,068"
J Moore,10%,10%,11%,10%,6%,566,"$115,408,686"
C Fownes,9%,10%,8%,10%,9%,527,"$78,621,958"
J Size,8%,13%,9%,9%,8%,542,"$117,372,145"
C S Shum,9%,10%,5%,8%,9%,475,"$69,711,815"
F C Lor,9%,8%,11%,11%,9%,500,"$79,179,208"
D J Whyte,9%,9%,8%,10%,9%,466,"$51,039,432"
K H Ting,8%,5%,6%,9%,7%,412,"$36,788,993"
Y S Tsui,6%,8%,7%,6%,6%,598,"$44,017,535"
K L Man,8%,11%,8%,8%,8%,410,"$43,374,438"
W Y So,7%,7%,8%,8%,7%,426,"$35,330,615"
P O'Sullivan,8%,7%,8%,7%,11%,376,"$33,010,792"
D J Hall,8%,5%,9%,10%,8%,393,"$37,040,533"
A T Millard,9%,8%,10%,7%,7%,346,"$37,234,605"
C H Yip,5%,3%,8%,6%,6%,554,"$26,783,461"
T P Yung,6%,6%,6%,6%,7%,432,"$28,617,620"
D E Ferraris,5%,7%,8%,7%,7%,428,"$29,619,618"
C W Chang,5%,9%,6%,4%,8%,394,"$24,558,480"
R Gibson,5%,3%,6%,11%,10%,366,"$26,344,954"
L Ho,4%,7%,4%,8%,5%,427,"$21,136,215"
T Ozeki,100%,0%,0%,0%,0%,1,"$11,400,000"
Y Hatakeyama,100%,0%,0%,0%,0%,1,"$15,960,000"
Y Tomomichi,100%,0%,0%,0%,0%,1,"$14,250,000"
M Matsunaga,0%,100%,0%,0%,0%,1,"$4,400,000"
A P O'Brien,0%,33%,0%,0%,0%,3,"$6,160,000"
J Lau,0%,0%,33%,33%,0%,3,"$568,750"
K Hagiwara,0%,0%,0%,100%,0%,1,"$1,425,000"
M Hashida,0%,0%,0%,100%,0%,1,"$1,140,000"
de Royer Dupre,0%,0%,0%,0%,100%,1,"$924,000"
P Brandt,0%,0%,0%,0%,100%,1,"$660,000"
Y Ikee,0%,0%,0%,0%,100%,1,"$825,000"
C Fellowes,0%,0%,0%,0%,0%,1,$0
H Otonashi,0%,0%,0%,0%,0%,1,$0
R Charlton,0%,0%,0%,0%,0%,1,$0
Sir M R Stoute,0%,0%,0%,0%,0%,1,$0
T Yasuda,0%,0%,0%,0%,0%,1,$0
W J Haggas,0%,0%,0%,0%,0%,1,$0
W P Mullins,0%,0%,0%,0%,0%,1,$0
